"Image_ID","Scene_Type","Objects_Detected","Bounding_Boxes","Confidence"
"IMG_001","Fire Scene","fire","fire:[13.0,190.0,482.0,498.0]; fire:[581.0,604.0,667.0,698.0]; fire:[90.0,718.0,428.0,898.0]; fire:[1435.0,747.0,1557.0,828.0]","1.0"
"IMG_002","Fire Scene","fire","fire:[1.0,364.0,336.0,530.0]; fire:[1175.0,468.0,1279.0,593.0]; fire:[470.0,499.0,519.0,536.0]; fire:[660.0,465.0,700.0,542.0]; fire:[780.0,474.0,819.0,560.0]","1.0"
"IMG_003","Fire Scene","fire","fire:[1.0,1.0,351.0,323.0]; fire:[428.0,145.0,585.0,263.0]; fire:[681.0,98.0,770.0,257.0]","1.0"
"IMG_004","Fire Scene","fire","fire:[626.0,381.0,730.0,481.0]","1.0"
"IMG_005","Fire Scene","fire","fire:[627.0,361.0,728.0,486.0]","1.0"
"IMG_006","Fire Scene","fire","fire:[889.0,96.0,1207.0,488.0]","1.0"
"IMG_007","Fire Scene","fire","fire:[805.0,168.0,1246.0,499.0]","1.0"
"IMG_008","Fire Scene","fire","fire:[241.0,534.0,506.0,829.0]","1.0"
"IMG_009","Fire Scene","fire","fire:[288.0,290.0,621.0,640.0]","1.0"
"IMG_010","Fire Scene","fire","fire:[210.0,369.0,487.0,812.0]","1.0"
"IMG_011","Fire Scene","fire","fire:[330.0,545.5,455.0,749.5]","1.0"
"IMG_012","Fire Scene","fire","fire:[167.5,51.0,271.5,226.0]","1.0"
"IMG_013","Fire Scene","fire","fire:[178.5,60.5,276.5,225.5]","1.0"
"IMG_014","Fire Scene","fire","fire:[162.0,5.5,329.0,243.5]","1.0"
"IMG_015","Fire Scene","fire","fire:[175.0,52.5,274.0,225.5]","1.0"
"IMG_016","Fire Scene","fire","fire:[179.0,0.0,308.0,260.0]","1.0"
"IMG_017","Fire Scene","fire","fire:[173.0,125.5,300.0,228.5]; fire:[234.0,58.5,297.0,127.5]","1.0"
"IMG_018","Fire Scene","fire","fire:[204.0,95.5,284.0,234.5]","1.0"
"IMG_019","Fire Scene","fire","fire:[201.5,37.0,336.5,234.0]","1.0"
"IMG_020","Fire Scene","fire","fire:[332.0,135.0,473.0,201.0]; fire:[295.0,176.0,310.0,193.0]","1.0"
"IMG_021","Fire Scene","fire","fire:[200.0,191.0,313.0,250.0]","1.0"
"IMG_022","Fire Scene","fire","fire:[190.0,0.0,385.0,234.0]","1.0"
"IMG_023","Fire Scene","fire","fire:[190.0,155.0,330.0,207.0]","1.0"
"IMG_024","Fire Scene","fire","fire:[268.0,185.0,349.0,236.0]; fire:[356.0,219.0,394.0,240.0]","1.0"
"IMG_025","Fire Scene","fire","fire:[191.0,45.0,336.0,244.0]; fire:[342.0,225.0,368.0,249.0]","1.0"
"IMG_026","Fire Scene","fire","fire:[264.0,104.0,436.0,292.0]","1.0"
"IMG_027","Fire Scene","fire","fire:[205.0,197.5,291.0,213.5]","1.0"
"IMG_028","Fire Scene","fire","fire:[190.0,192.0,235.0,262.0]; fire:[233.0,270.0,263.0,293.0]","1.0"
"IMG_029","Fire Scene","fire","fire:[269.0,0.0,388.0,166.0]","1.0"
"IMG_030","Crime Scene","person, refrigerator","person:[904.95,3.61,1007.56,128.7]; refrigerator:[78.43,0.0,850.51,708.36]","0.64"
"IMG_031","General Incident Scene","unknown","unknown:[351.0,307.0,393.0,519.0]","1.0"
"IMG_032","Fire Scene","fire","fire:[219.01,287.75,261.25,319.02]; fire:[262.44,313.88,306.56,365.76]","1.0"
"IMG_033","Fire Scene","fire","fire:[1131.13,85.96,1349.98,240.88]","1.0"
"IMG_034","Fire Scene","fire","fire:[567.07,721.72,623.83,767.02]; fire:[696.73,847.22,716.51,863.36]; fire:[717.56,807.12,738.38,822.22]","1.0"
"IMG_035","Fire Scene","fire","fire:[443.57,403.83,516.2,444.49]","1.0"
"IMG_036","General Incident Scene","refrigerator","refrigerator:[73.84,0.0,848.12,709.33]","0.8"
"IMG_037","Crime Scene","person, chair, couch","person:[484.03,410.22,676.43,941.44]; chair:[265.46,883.94,576.84,1075.01]; couch:[1428.8,484.54,1678.56,693.31]","0.51"
"IMG_038","Fire Scene","fire","fire:[145.21,154.6,476.29,480.0]","1.0"
"IMG_039","Fire Scene","fire","fire:[263.42,311.35,306.38,362.95]; fire:[243.17,293.86,257.29,310.36]","1.0"
"IMG_040","Fire Scene","fire","fire:[711.28,296.5,1037.62,704.42]","1.0"
"IMG_041","Fire Scene","fire","fire:[266.37,320.19,317.11,362.75]","1.0"
"IMG_042","Fire Scene","fire","fire:[268.0,319.28,327.4,362.5]","1.0"
"IMG_043","Fire Scene","fire","fire:[265.32,317.78,331.38,360.22]","1.0"
"IMG_044","Fire Scene","fire","fire:[442.81,394.5,514.8,443.17]","1.0"
"IMG_045","Fire Scene","fire","fire:[237.54,608.56,508.32,799.66]; fire:[941.6,788.24,1046.75,816.5]","1.0"
"IMG_046","Fire Scene","fire","fire:[1624.27,773.87,1686.49,838.63]; fire:[215.8,544.64,427.08,842.95]","1.0"
"IMG_047","General Incident Scene","refrigerator, bottle","refrigerator:[74.86,0.0,842.01,714.11]; bottle:[64.38,496.2,253.92,690.79]","0.53"
"IMG_048","Fire Scene","fire","fire:[283.07,319.25,320.91,347.95]","1.0"
"IMG_049","Fire Scene","fire","fire:[1070.25,606.17,1356.11,1018.13]; fire:[1326.96,649.89,1412.31,798.35]","1.0"
"IMG_050","Fire Scene","fire","fire:[1211.68,640.61,1410.53,1018.73]","1.0"
"IMG_051","Fire Scene","fire","fire:[437.39,384.85,515.74,441.91]","1.0"
"IMG_052","General Incident Scene","refrigerator, bottle","refrigerator:[75.79,6.11,845.65,707.29]; bottle:[64.61,497.08,252.94,684.0]","0.48"
"IMG_053","Fire Scene","fire","fire:[1289.5,426.99,1495.16,722.69]; fire:[1409.5,820.5,1920.0,1079.99]; fire:[1264.67,96.14,1405.39,189.94]","1.0"
"IMG_054","Fire Scene","fire","fire:[488.18,390.51,542.47,455.45]","1.0"
"IMG_055","Fire Scene","fire","fire:[1427.95,868.48,1920.01,1080.0]; fire:[1317.68,490.23,1434.51,607.98]; fire:[1405.02,134.09,1446.08,174.78]","1.0"
"IMG_056","Fire Scene","fire","fire:[1225.08,486.16,1428.64,931.34]","1.0"
"IMG_057","Fire Scene","fire","fire:[437.46,376.96,515.44,440.95]","1.0"
"IMG_058","Fire Scene","fire","fire:[439.73,431.09,599.43,794.52]","1.0"
"IMG_059","Fire Scene","fire","fire:[483.64,380.25,525.36,423.43]","1.0"
"IMG_060","Fire Scene","fire","fire:[1167.68,663.45,1354.84,1018.89]","1.0"
"IMG_061","Fire Scene","fire","fire:[440.75,341.08,531.99,445.42]; fire:[517.44,492.41,557.95,524.36]","1.0"
"IMG_062","Fire Scene","fire","fire:[0.0,419.41,78.68,518.09]","1.0"
"IMG_063","Fire Scene","fire","fire:[785.34,378.56,805.04,404.74]","1.0"
"IMG_064","Fire Scene","fire","fire:[444.78,413.05,516.09,447.21]","1.0"
"IMG_065","Fire Scene","fire","fire:[442.53,223.83,691.23,441.05]; fire:[849.45,593.08,866.46,608.88]","1.0"
"IMG_066","Fire Scene","fire","fire:[432.33,237.92,687.46,436.44]; fire:[852.42,598.96,871.52,616.76]","1.0"
"IMG_067","Fire Scene","fire","fire:[701.77,577.34,788.05,650.09]; fire:[428.31,294.47,633.28,442.41]","1.0"
"IMG_068","Fire Scene","fire","fire:[431.7,399.93,495.18,440.82]","1.0"
"IMG_069","Fire Scene","fire","fire:[435.88,420.0,509.6,447.2]","1.0"
"IMG_070","Fire Scene","fire","fire:[429.46,318.96,596.25,452.06]; fire:[735.57,605.48,762.17,630.99]","1.0"
"IMG_071","Fire Scene","fire","fire:[432.95,402.92,488.68,423.69]","1.0"
"IMG_072","Fire Scene","fire","fire:[1079.86,295.71,1265.06,440.57]; fire:[1261.26,399.09,1503.78,714.35]; fire:[1239.8,610.73,1304.06,673.01]; fire:[1411.46,865.88,1920.0,1080.01]","1.0"
"IMG_073","General Incident Scene","refrigerator","refrigerator:[75.53,0.0,846.36,711.37]","0.76"
"IMG_074","Fire Scene","fire","fire:[430.05,385.53,487.03,422.76]","1.0"
"IMG_075","Fire Scene","fire","fire:[428.38,389.26,487.39,423.19]","1.0"
"IMG_076","General Incident Scene","unknown","unknown:[331.0,517.5,343.0,536.5]","1.0"
"IMG_077","General Incident Scene","unknown","unknown:[330.5,493.0,345.5,540.0]","1.0"
"IMG_078","General Incident Scene","unknown","unknown:[314.0,481.0,322.0,517.0]; unknown:[330.5,485.5,347.5,542.5]","1.0"
"IMG_079","General Incident Scene","unknown","unknown:[329.0,412.5,367.0,543.5]","1.0"
"IMG_080","General Incident Scene","unknown","unknown:[329.0,411.0,367.0,543.0]","1.0"
"IMG_081","General Incident Scene","chair, microwave, clock","chair:[587.54,433.38,715.2,720.92]; chair:[0.11,596.33,77.17,892.29]; chair:[860.71,396.16,991.45,649.06]; chair:[270.53,499.69,386.97,805.13]; microwave:[562.08,17.91,760.62,150.86]; chair:[1382.15,329.84,1484.99,485.4]; clock:[105.69,117.34,175.41,182.19]; chair:[1187.8,321.96,1306.18,450.53]","0.41"
"IMG_082","General Incident Scene","unknown","unknown:[332.5,412.0,367.5,542.0]","1.0"
"IMG_083","General Incident Scene","unknown","unknown:[330.0,409.5,368.0,544.5]","1.0"
"IMG_084","General Incident Scene","unknown","unknown:[348.5,104.5,391.5,354.5]","1.0"
"IMG_085","General Incident Scene","unknown","unknown:[352.0,208.0,394.0,360.0]","1.0"
"IMG_086","General Incident Scene","unknown","unknown:[353.5,182.5,395.5,354.5]","1.0"
"IMG_087","General Incident Scene","unknown","unknown:[358.0,184.0,398.0,359.0]","1.0"
"IMG_088","General Incident Scene","unknown","unknown:[315.0,233.0,389.0,577.0]","1.0"
"IMG_089","General Incident Scene","unknown","unknown:[358.0,170.0,397.0,363.0]","1.0"
"IMG_090","General Incident Scene","unknown","unknown:[296.5,212.5,424.5,583.5]","1.0"
"IMG_091","General Incident Scene","unknown","unknown:[287.0,212.5,418.0,303.5]; unknown:[340.5,307.5,378.5,593.5]","1.0"
"IMG_092","General Incident Scene","unknown","unknown:[348.5,210.0,400.5,360.0]; unknown:[386.5,391.0,399.5,446.0]; unknown:[384.5,501.0,396.5,551.0]","1.0"
"IMG_093","General Incident Scene","unknown","unknown:[133.5,175.5,548.5,304.5]; unknown:[333.0,314.0,387.0,590.0]","1.0"
"IMG_094","General Incident Scene","unknown","unknown:[153.5,187.5,545.5,303.5]; unknown:[336.5,309.5,387.5,584.5]","1.0"
"IMG_095","General Incident Scene","unknown","unknown:[277.0,2.0,409.0,651.0]","1.0"
"IMG_096","General Incident Scene","unknown","unknown:[257.5,6.5,404.5,660.5]","1.0"
"IMG_097","General Incident Scene","unknown","unknown:[308.5,79.5,396.5,674.5]","1.0"
"IMG_098","General Incident Scene","unknown","unknown:[261.0,8.5,436.0,675.5]","1.0"
"IMG_099","General Incident Scene","unknown","unknown:[322.5,31.0,353.5,137.0]","1.0"
"IMG_100","General Incident Scene","unknown","unknown:[323.0,40.0,351.0,128.0]","1.0"
"IMG_101","General Incident Scene","unknown","unknown:[315.0,504.0,373.0,679.0]","1.0"
"IMG_102","General Incident Scene","unknown","unknown:[312.5,512.0,373.5,681.0]","1.0"
"IMG_103","General Incident Scene","unknown","unknown:[310.5,441.0,376.5,687.0]","1.0"
"IMG_104","General Incident Scene","unknown","unknown:[307.5,293.5,380.5,684.5]","1.0"
"IMG_105","Fire Scene","fire","fire:[259.21,314.43,314.09,362.07]; fire:[230.02,291.92,263.08,320.98]","1.0"
"IMG_106","Fire Scene","unknown","unknown:[328.0,261.0,421.0,538.0]; unknown:[353.5,551.0,410.5,683.0]","1.0"
"IMG_107","General Incident Scene","unknown","unknown:[324.0,249.5,405.0,684.5]","1.0"
"IMG_108","General Incident Scene","unknown","unknown:[312.5,218.5,374.5,532.5]","1.0"
"IMG_109","Fire Scene","unknown","unknown:[303.5,119.5,377.5,534.5]","1.0"
"IMG_110","General Incident Scene","unknown","unknown:[298.0,256.5,381.0,534.5]","1.0"
"IMG_111","Fire Scene","fire","fire:[787.06,377.21,806.22,403.45]","1.0"
"IMG_112","General Incident Scene","unknown","unknown:[298.5,208.5,401.5,512.5]","1.0"
"IMG_113","Fire Scene","fire","fire:[6.0,77.0,59.0,168.0]","1.0"
"IMG_114","Fire Scene","fire","fire:[155.0,187.0,218.0,210.0]","1.0"
"IMG_115","Fire Scene","fire","fire:[146.0,114.0,182.0,169.0]","1.0"
"IMG_116","Fire Scene","fire","fire:[185.0,31.0,199.0,79.0]; fire:[118.0,1.0,169.0,33.0]","1.0"
"IMG_117","Fire Scene","fire","fire:[1.0,1.0,176.0,216.0]","1.0"
"IMG_118","Fire Scene","fire","fire:[323.5,267.0,447.5,462.0]","1.0"
"IMG_119","Fire Scene","fire","fire:[293.0,102.0,316.0,129.0]; fire:[280.0,44.0,312.0,98.0]","1.0"
"IMG_120","Fire Scene","fire","fire:[574.0,230.0,636.0,261.0]","1.0"
"IMG_121","Fire Scene","fire","fire:[433.0,291.0,507.0,396.0]","1.0"
"IMG_122","Fire Scene","fire","fire:[114.0,135.0,138.0,143.0]","1.0"
"IMG_123","Fire Scene","fire","fire:[97.0,116.0,140.0,152.0]; fire:[72.0,148.0,85.0,163.0]","1.0"
"IMG_124","Fire Scene","fire","fire:[1979.0,619.0,3085.0,1108.0]; fire:[1139.0,902.0,1739.0,1568.0]; fire:[2605.0,14.0,2902.0,462.0]","1.0"
"IMG_125","Fire Scene","fire","fire:[59.0,78.0,276.0,340.0]; fire:[410.0,2.0,633.0,288.0]","1.0"
"IMG_126","Fire Scene","fire","fire:[241.0,459.0,337.0,581.0]; fire:[672.0,448.0,736.0,528.0]; fire:[358.0,393.0,486.0,477.0]","1.0"
"IMG_127","Fire Scene","fire","fire:[704.0,250.0,851.0,360.0]; fire:[135.0,110.0,305.0,305.0]; fire:[419.0,255.0,497.0,393.0]; fire:[605.0,219.0,665.0,320.0]; fire:[707.0,363.0,787.0,454.0]; fire:[703.0,479.0,789.0,560.0]","1.0"
"IMG_128","Fire Scene","fire","fire:[64.0,103.0,97.0,169.0]; fire:[163.0,132.0,219.0,180.0]; fire:[165.0,369.0,239.0,433.0]; fire:[356.0,175.0,386.0,214.0]; fire:[251.0,146.0,303.0,210.0]; fire:[285.0,408.0,359.0,435.0]; fire:[395.0,410.0,455.0,434.0]; fire:[477.0,408.0,531.0,432.0]; fire:[415.0,185.0,464.0,238.0]; fire:[494.0,203.0,534.0,247.0]","1.0"
"IMG_129","Fire Scene","fire","fire:[230.0,55.0,395.0,292.0]; fire:[296.0,328.0,351.0,369.0]; fire:[418.0,126.0,517.0,282.0]; fire:[406.0,11.0,463.0,62.0]; fire:[383.0,301.0,434.0,329.0]","1.0"
