Incident_ID,Audio_Event,PDF_Doc_Type,Image_Objects,Video_Event,Text_Crime_Type,Severity
INC_001,Building fire / trapped persons,Burglary,N/A,N/A,shooting,Critical
INC_002,Murder / homicide,Accident,N/A,N/A,police investigation,High
INC_003,Shooting,Assault,N/A,N/A,police investigation,High
INC_004,Unknown incident,N/A,N/A,N/A,police investigation,High
INC_005,Unknown incident,N/A,N/A,N/A,police investigation,High
INC_006,Murder / homicide,N/A,N/A,N/A,police investigation,Medium
INC_007,Murder / homicide,N/A,N/A,N/A,robbery,Medium
INC_008,Murder / homicide,N/A,N/A,N/A,public disturbance,Medium
INC_009,Murder / homicide,N/A,N/A,N/A,police investigation,High
INC_010,Building fire / trapped persons,N/A,N/A,N/A,fire,High
INC_011,Medical emergency,N/A,N/A,N/A,police investigation,High
INC_012,Road accident,N/A,N/A,N/A,police investigation,High
INC_013,Building fire / trapped persons,N/A,N/A,N/A,police investigation,Critical
INC_014,Road accident,N/A,N/A,N/A,police investigation,High
INC_015,Unknown incident,N/A,N/A,N/A,police investigation,Medium
INC_016,Domestic disturbance,N/A,N/A,N/A,police investigation,High
INC_017,Unknown incident,N/A,N/A,N/A,police investigation,Medium
INC_018,Shooting,N/A,N/A,N/A,police investigation,Critical
INC_019,Murder / homicide,N/A,N/A,N/A,public disturbance,High
INC_020,Road accident,N/A,N/A,N/A,police investigation,High
INC_021,Road accident,N/A,N/A,N/A,police investigation,High
INC_022,Medical emergency,N/A,N/A,N/A,police investigation,Critical
INC_023,Murder / homicide,N/A,N/A,N/A,police investigation,Critical
INC_024,Assault / violence,N/A,N/A,N/A,police investigation,High
INC_025,Murder / homicide,N/A,N/A,N/A,police investigation,Critical
INC_026,Assault / violence,N/A,N/A,N/A,police investigation,High
INC_027,Unknown incident,N/A,N/A,N/A,police investigation,Medium
INC_028,Unknown incident,N/A,N/A,N/A,police investigation,High
INC_029,Unknown incident,N/A,N/A,N/A,police investigation,High
INC_030,Unknown incident,N/A,N/A,N/A,police investigation,High
INC_031,Unknown incident,N/A,N/A,N/A,assault,Medium
INC_032,Unknown incident,N/A,N/A,N/A,assault,Medium
INC_033,Murder / homicide,N/A,N/A,N/A,shooting,Critical
INC_034,Shooting,N/A,N/A,N/A,assault,Medium
INC_035,Unknown incident,N/A,N/A,N/A,police investigation,High
INC_036,Murder / homicide,N/A,N/A,N/A,police investigation,Medium
